skuErp;skuSite;descricao
10688;10688-001-U;Puxador Ponto Radio G Preto - Zen Design - G
10694;10694-001-U;Puxador Ponto Radio M Preto - Zen Design - M
10699;10699-001-U;Puxador Ponto Radio P Preto Com Base - Zen Design - P
10701;10701-001-U;Puxador Alça Santa Fé Cruzado 128MM Preto - Zen Design - 128MM
10702;10702-001-U;Puxador Alça Sorento Liso 224mm Níquel Escovado - Zen Design - 224MM
10703;10703-001-U;Puxador Alça Santa Fé Cruzado 192MM Preto - Zen Design - 192MM
10706;10706-001-U;Puxador Alça Oeiras 1693 256MM Niquel Escovado -Torralba - Único
10707;10707-001-U;Puxador Alça Santa Fé Cruzado 320MM Preto - Zen Design - 320MM
10709;10709-001-U;Puxador Alça Sorento Liso 96mm Preto - Zen Design - 96MM
10713;10713-001-U;Puxador Ponto Dharma 32MM Dourado - Zen Design - Ponto
10715;10715-001-U;Puxador Alça Sorento Liso 224mm Preto - Zen Design - 224MM
10718;10718-001-U;Puxador Ponto Naico 206 Niquel Escovado -Torralba - Único
10720;10720-001-U;Puxador Alça Sorento Granado 224mm Preto - Zen Design - 224MM
10724;10724-001-U;Puxador Alça Piaui 352mm Cromado - Torralba - 352MM
10725;10725-001-U;Puxador Ponto Beetle Com Base Granada Vecchio Cobre - Zen Design - Ponto
10727;10727-001-U;Puxador Concha Plymouth Rose - Zen Design - 80MM
10728;10728-001-U;Puxador Concha Shell Rose - Zen Design - 64MM
10737;10737-001-U;Puxador Sobrepor Citizen Reto P Preto - Zen Design - P
10743;10743-001-U;Puxador Alça Versalhes 160MM Dourado Matte - Zen Design - 160MM
10744;10744-001-U;Puxador Sobrepor Citizen Reto P Dourado -Zen Design - Único
10749;10749-001-U;Puxador Alça Arezzo 224mm Dourado - Torralba - 224MM
10753;10753-001-U;Puxador Alça Grenade 64mm Dourado - Torralba - 64MM
10756;10756-001-U;Puxador Ponto Orion 55x27MM Cromo - Zen Design - 55X27MM
10757;10757-001-U;Puxador Alça Ken 416mm Dourado - Zen Design - 416MM
10765;10765-001-U;Puxador Alça Piaui 224mm Cromado - Torralba - 224MM
10767;10767-001-U;Puxador Ponto Arco Íris 50MM  Gold Opaco - Jador - Ponto
10774;10774-001-U;Puxador Alça Sorento Granado 320mm Níquel Velho - Zen Design - 320MM
10778;10778-001-U;Puxador Concha Shell 64mm Rose Escovado - Zen Design - 64MM
10783;10783-001-U;Puxador Concha Shell 64mm Escovado - Zen Design - 64MM
10789;10789-001-U;Puxador Alça Tecno 128MM Dourado Matte - Zen Design - 128MM
10791;10791-001-U;Puxador Ponto Fune Couro Marrom Dourado - Zen Design - Ponto
10793;10793-001-U;Puxador Embutir Udine Preto - Zen Design - Único
10795;10795-001-U;Puxador Ponto Avelã P Dourado - Torralba - P
10797;10797-001-U;Puxador Ponto Fune Couro Marrom Cromado - Zen Design - Ponto
10803;10803-001-U;Puxador Ponto Avelã G Dourado - Torralba - G
10806;10806-001-U;Puxador Ponto Soft  P Dourado - Torralba - P
10827;10827-001-U;Puxador Concha Pipe Simétrico Gold - Zen Design - 120MM
10830;10830-001-U;Puxador Alça Curvo Obietto 320mm Cromado - 320MM
10840;10840-001-U;Puxador Alça Curvo Obietto 320mm Níquel Escovado - 320MM
10849;10849-001-U;Puxador Alça Oriente 224mm Couro Marrom Vecchio Metallo - Zen Design - 224MM
10852;10852-001-U;Puxador Ponto Oriente Couro Marrom Cromado - Zen Design - Ponto
10863;10863-001-U;Puxador Alça Phenix 320MM Gold Escovado - Zen Design - 320MM
10870;10870-001-U;Puxador Alça Ken 320MM Gold Escovado - Zen Design - 320MM
10873;10873-001-U;Puxador Alça Liveri IL950 Alça 128mm Escovado - Italyline - 128MM
10911;10911-001-U;Puxador Concha Nozes 64MM Gold Opaco - Jador - 64MM
10919;10919-001-U;Puxador Ponto Beetle Gold Escovado - Zen Design - Ponto
10925;10925-001-U;Puxador Ponto Plana Cromado - Zen Design - Ponto
10929;10929-001-U;Puxador Alça Phenix 320MM Preto - Zen Design - 320MM
10936;10936-001-U;Puxador Ponto Beetle Preto - Zen Design - Ponto
10937;10937-001-U;Puxador Alça Elemento M Gold - Zen Design - M
10939;10939-001-U;Puxador Alça Ravena 54MM Dourado Matte - Zen Design - 54MM
10940;10940-001-U;Puxador Ponto Antique Gold Escovado - Zen Design - Ponto
10965;10965-001-U;Puxador Ponto Caiapo Dourado - Zen Design - Ponto
10972;10972-001-U;Puxador Ponto Sheer Níquel Escovado - Zen Design - Ponto
10979;10979-001-U;Puxador Ponto Bali Granado Gold Zen Design - Ponto
10982;10982-001-U;Puxador Concha Plymouth Níquel Velho - Zen Design - 80MM
10985;10985-001-U;Puxador Ponto Horses Gold - Zen Design - Ponto
10987;10987-001-U;Puxador Sobrepor Citizen 45 Graus P Gold - Zen Design - P
10988;10988-001-U;Puxador Alça Traso 32mm Gold Escovado - Zen Design - 32MM
10989;10989-001-U;Puxador Traso 128MM Gold - Zen Design - 128MM
10990;10990-001-U;Puxador Alça Ken 192MM Gold Escovado - Zen Design - 192MM
10991;10991-001-U;Puxador Ponto Zigrinato il1580 25x28MM  Dourado - Italyline - Ponto
10993;10993-001-U;Puxador Alça Elemento G Gold - Zen - G
11008;11008-001-U;Puxador Ponto Jalapa Redondo P Dourado - Torralba - P
11014;11014-001-U;Puxador Alça Box 48MM Gold Escovado - Zen Design - 48MM
11020;11020-001-U;Puxador Ponto Ball di Cristallo 30MM Ponto Escovado - Jador - Ponto
11026;11026-001-U;Puxador Ponto Beetle Escovado - Zen Design - Único
11029;11029-001-U;Puxador Alça Estrela 384MM Gold - Jador - 384MM
11041;11041-001-U;Puxador Ponto Flex Gold - Zen Design - Ponto
11047;11047-001-U;Puxador Alça Box 144mm Preto - Zen Design - 144MM
11054;11054-001-U;Puxador Ponto Galaxia 30MM Gold Opaco - Jador - Único
11056;11056-001-U;Puxador Alça Piaui 3269 224MM Niquel Escovado - Torralba - Único
11057;11057-001-U;Puxador Alça Estrela 256mm Preto Opaco - Jador - 256MM
11062;11062-001-U;Puxador Sobrepor Pv22 128mm Preto Fosco - Torralba - 128MM
11065;11065-001-U;Puxador Concha Eden 64mm Dourado - Torralba - 64MM
11077;11077-001-U;Puxador Alça Santa Fé Cruzado 128MM Gold Escovado - Zen Design - 128MM
11084;11084-001-U;Puxador Alça Sorento Liso 320mm Dourado - Zen Design - 320MM
11089;11089-001-U;Puxador Alça Box 48MM Gold - Zen Design - 48MM
